lema_pt	traducao_en	marcas_dicionario	motivo_tecnico	status_traducao
abadavina	abadavina	f.		sem_traducao
abade	abbot	m. | b. lat.		
abade	prelate	m. | b. lat.		
abadecídio	abboticide	m. | Cf.		
abadejo	cod	m. | prov.		
abadengo	reveler	m. | Ant. | Adj.		
abadernar	abadernar	v. t. | Náut.		sem_traducao
abadesco	abbot	adj.		
abadessa	abbess	f. | b. lat.		
abadessado	abbess	m. | as.		
abadessona	abbess	f. | fam. | Cf.		
abadia	abbey	f.		
abadia	abbacy	f.		
abadiado	abbey	m.		
abadim	abadim	m. | Ant.		sem_traducao
abadir	abbot	m. | Cf. | lat.		
abado	abado	adj.		sem_traducao
abaetado	slaughtered	adj.		
abaetar	abate	v. t.		
abafa!	Shut up!	interj. | as.		
abafação	muffling	f. | p.		
abafadamente	muffled	adv.		
abafadela	muffled	f.		
abafadiço	stuffy	adj.		
abafadiço	stifling	adj.		
abafado	stuffy	adj. | ár. | mal.		
abafado	sultry	adj. | ár. | mal.		
abafado	airless	adj. | ár. | mal.		
abafado	close	adj. | ár. | mal.		
abafado	suffocating	adj. | ár. | mal.		
abafado	thick	adj. | ár. | mal.		
abafado	fusty	adj. | ár. | mal.		
abafado	fuggy	adj. | ár. | mal.		
abafado	busy	adj. | ár. | mal.		
abafado	suffocant	adj. | ár. | mal.		
abafado	choky	adj. | ár. | mal.		
abafado	anxious	adj. | ár. | mal.		
abafador	damper	adj. | m. | prov.		
abafadura	muffled	f.		
abafamento	muffling	m. | ár. | Adj.		
abafamento	suffocation	m. | ár. | Adj.		
abafamento	fug	m. | ár. | Adj.		
abafar	stifle	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	muffle	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	drown	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	smother	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	suppress	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	mute	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	hush up	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	cover up	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	choke	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	suffocate	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	damp	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	pilfer	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	swelter	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	blanket	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	cushion	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	drench	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	burke	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	steal the show	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	hugger-mugger	v. t. | vin. | v. i. | V. | p. | prov.		
abafar	stifle	m.		
abafar	muffle	m.		
abafar	drown	m.		
abafar	smother	m.		
abafar	suppress	m.		
abafar	mute	m.		
abafar	hush up	m.		
abafar	cover up	m.		
abafar	choke	m.		
abafar	suffocate	m.		
abafar	damp	m.		
abafar	pilfer	m.		
abafar	swelter	m.		
abafar	blanket	m.		
abafar	cushion	m.		
abafar	drench	m.		
abafar	burke	m.		
abafar	steal the show	m.		
abafar	hugger-mugger	m.		
abafarete	smother	m. | neol.		
abafas	muffles	f. pl. | Ant.		
abafeira	abatter	f. | m.		
abafo	muffled	m.		
abagoar	abagoar	v. t. | Prov. minh.		sem_traducao
abagum	abagum	m.		sem_traducao
abahuladamente	abahuladamente	adv.		sem_traducao
abahulado	abahulado	adj.		sem_traducao
abahulador	abahulador	m.		sem_traducao
abahulamento	bulging	m.		
abahular	abahular	v. t.		sem_traducao
abainhar	hem	v. t.		
abaionetar	bayonet	v. t.		
abairramento	neighborhood	m.		
abairrar	to abarr	v. t.		
abaixa	lower	f.		
abaixadela	lowering	f.		
abaixador	lower	m.		
abaixadura	lowering	f.		
abaixamento	lowering	m.		
abaixamento	depression	m.		
abaixamento	subsidence	m.		
abaixamento	decline	m.		
abaixamento	sinking	m.		
abaixamento	down-grade	m.		
abaixamento	fade-out	m.		
abaixante	lowering	m.		
abaixar	lower	v. t. | ﬁg. | V. | p. | prov. | loc. | fam.		
abaixar	turn down	v. t. | ﬁg. | V. | p. | prov. | loc. | fam.		
abaixar	reduce	v. t. | ﬁg. | V. | p. | prov. | loc. | fam.		
abaixar	bring down	v. t. | ﬁg. | V. | p. | prov. | loc. | fam.		
abaixar	descend	v. t. | ﬁg. | V. | p. | prov. | loc. | fam.		
abaixar	abate	v. t. | ﬁg. | V. | p. | prov. | loc. | fam.		
abaixar	derogate	v. t. | ﬁg. | V. | p. | prov. | loc. | fam.		
abaixar	down-grade	v. t. | ﬁg. | V. | p. | prov. | loc. | fam.		
abaixo	below	adv. | m.		
abaixo	down	adv. | m.		
abaixo	down	adv. | m.		
abaixo	beneath	adv. | m.		
abaixo	beneath	adv. | m.		
abaixo	underneath	adv. | m.		
abaixo	downwards	adv. | m.		
abaixo	downhill	adv. | m.		
abaixo	thereunder	adv. | m.		
abajoujamento	lampshading	m.		
abajoujar-se	lampshade	v. p.		
abaju	lampshade	m. | V. | fr.		
abaju	lampshade	m.		
abajúrdio	lampshade	m. | voc. | us.		
abalada	shaken	f.		
abalado	shaken	adj. | mal.		
abalado	unsettled	adj. | mal.		
abalado	unstable	adj. | mal.		
abalado	crank	adj. | mal.		
abaladura	rocking	f. | Prov. minh.		
abalamento	shaking	m. | Chron.		
abalançamento	balance	m.		
abalançar	swing	v. t.		
abalar	shake	v. t. | v. i.		
abalar	unsettle	v. t. | v. i.		
abalar	affect	v. t. | v. i.		
abalar	shock	v. t. | v. i.		
abalar	jolt	v. t. | v. i.		
abalar	toss	v. t. | v. i.		
abalar	jar	v. t. | v. i.		
abalar	scamper	v. t. | v. i.		
abalar	convulse	v. t. | v. i.		
abalar	depolarise	v. t. | v. i.		
abalar	unfix	v. t. | v. i.		
abalar	concuss	v. t. | v. i.		
abalaustramento	balustrade	m.		
abalaustrar	balustrade	v. t.		
abalável	unshakeable	adj.		
abaldear	to scuttle	v. t.		
abalienação	alienation	f. | lat.		
abalienar	abalienar	v. t. | lat.		sem_traducao
abalistar	abalistar	v. t.		sem_traducao
abalizadamente	expertly	adv.		
abalizado	qualified	adj.		
abalizador	marker	m. | as.		
abalizamento	beacon	m.		
abalizar	to validate	v. t.		
abalo	tremor	m.		
abalo	concussion	m.		
abalo	shock	m.		
abalo	quake	m.		
abalo	shake	m.		
abalo	emotion	m.		
abalo	impression	m.		
abalo	convulsion	m.		
abalo	jump	m.		
abalo	seism	m.		
abaloar	rock	v. t.		
abalofar	to smother	v. t.		
abalonado	bulging	adj. | neol. | Cf.		
abaloso	shocking	adj. | Bras.		
abalrôa	abalrôa	f.		sem_traducao
abalroação	collision	f.		
abalroada	collision	f. | V.		
abalroadela	abalroadela	f. | V.		sem_traducao
abalroador	collision	m. e adj.		
abalroamento	collision	m.		
abalroar	to collide	v. t.		
abalroar	run into	v. t.		
abalroar	collide with	v. t.		
abalsar	abalsar	v. t.		sem_traducao
abalseirar	balseirar	v. t.		
abaluartamento	bastion	m.		
abaluartar	bulwark	v. t.		
abama	abama	f.		sem_traducao
abâmeas	abâmeas	f. | pl.		sem_traducao
abanadela	fan	f. | fam.		
abanador	fan	m.		
abanadura	fanadura	f.		
abanamoscas	fly-flakes	m. | ﬁg.		
abananado	fanned	adj. | fam. | Prov. alent.		
abananar	fan	v. t. | fam.		
abanante	fan	adj.		
abanão	fan	m. | pop.		
abanar	wave	v. t. | fam. | loc. | as.		
abanar	shake	v. t. | fam. | loc. | as.		
abanar	wag	v. t. | fam. | loc. | as.		
abanar	fan	v. t. | fam. | loc. | as.		
abanar	rock	v. t. | fam. | loc. | as.		
abanar	waggle	v. t. | fam. | loc. | as.		
abanar	jounce	v. t. | fam. | loc. | as.		
abanar	totter	v. t. | fam. | loc. | as.		
abancado	benched	m.		
abancar	sit down	v. t. | v. i.		
abandalhado	messed up	adj.		
abandalhar	to mess things up	v. t.		
abandalhar	debase	v. t.		
abandar	abandon	v. t. | V. | p.		
abandar	abandon	v. t. | Cf.		
abandear	abandon	v. t.		
abandeirar	to flag	v. t.		
abandejar	tray	v. t.		
abandoar	abandon	v. t. | V.		
abandonadamente	abandoned	adv.		
abandonado	abandoned	adj.		
abandonado	stranded	adj.		
abandonado	forsaken	adj.		
abandonado	derelict	adj.		
abandonado	forlorn	adj.		
abandonado	unattended	adj.		
abandonado	helpless	adj.		
abandonado	alone	adj.		
abandonado	lonely	adj.		
abandonado	bereft	adj.		
abandonado	unused	adj.		
abandonado	godforsaken	adj.		
abandonado	outcast	adj.		
abandonado	lorn	adj.		
abandonado	waste	adj.		
abandonado	bereaved	adj.		
abandonado	sole	adj.		
abandonado	unattending	adj.		
abandonado	unrelieved	adj.		
abandonado	comfortless	adj.		
abandonado	love-lorn	adj.		
abandonado	uncared-for	adj.		
abandonamento	abandonment	m. | V.		
abandonar	abandon	v. t. | V. | p.		
abandonar	leave	v. t. | V. | p.		
abandonar	give up	v. t. | V. | p.		
abandonar	quit	v. t. | V. | p.		
abandonar	forsake	v. t. | V. | p.		
abandonar	relinquish	v. t. | V. | p.		
abandonar	flee	v. t. | V. | p.		
abandonar	off	v. t. | V. | p.		
abandonar	vacate	v. t. | V. | p.		
abandonar	jettison	v. t. | V. | p.		
abandonar	renounce	v. t. | V. | p.		
abandonar	cast off	v. t. | V. | p.		
abandonar	neglect	v. t. | V. | p.		
abandonar	lay down	v. t. | V. | p.		
abandonar	set aside	v. t. | V. | p.		
abandonar	lay aside	v. t. | V. | p.		
abandonar	reject	v. t. | V. | p.		
abandonar	waive	v. t. | V. | p.		
abandonar	cede	v. t. | V. | p.		
abandonar	secede	v. t. | V. | p.		
abandonar	back down	v. t. | V. | p.		
abandonar	throw over	v. t. | V. | p.		
abandonar	doff	v. t. | V. | p.		
abandonar	forwent	v. t. | V. | p.		
abandonatário	abandoned	m. | neol.		
abandonável	abandonable	adj.		
abandono	abandonment	m.		
abandono	abandon	m.		
abandono	neglect	m.		
abandono	dereliction	m.		
abandono	desertion	m.		
abandono	renunciation	m.		
abandono	resignation	m.		
abandono	waiver	m.		
abandono	lurch	m.		
abandono	renouncement	m.		
abandono	quitclaim	m.		
abaneenga	abaneenga	m. | Bras.		sem_traducao
abanga	abanga	f.		sem_traducao
abanheenga	abanheenga	m. | Bras.		sem_traducao
abanicar	fan	v. i.		
abanico	fan	m. | Ant.		
abaninho	fan	m. | V.		
abano	fan	m. | ár.		
abano	wag	m. | ár.		
abantesma	ghost	f. | pop. | ﬁg.		
abanto	abanto	m. | Adj.		sem_traducao
abapo	abapo	m.		sem_traducao
abaquetar	to	v. t.		
abar	bar	v. t. | as.		
abará	abará	m. | Bras. | t.		sem_traducao
abaratar	cheapen	v. t.		
abarbado	bearded	adj.		
abarbar	abarbar	v. t. | v. i.		sem_traducao
abarbarado	barbaric	adj. | Bras.		
abarbarizar	barbarize	v. t. | V.		
abarbear	shave	v. t.		
abarbelar	abarbelar	v. t.		sem_traducao
abarbellar	abarbellar	v. t.		sem_traducao
abarca	encompasses	f. | mal. | Cp.		
abarcador	encompassing	m.		
abarcamento	encompassing	m.		
abarcante	comprehensive	adj.		
abarcar	to encompass	v. t. | cast.		
abarcas	abarcas	f. pl. | Prov. alg.		sem_traducao
abarém	barém	m. | Bras.		
abaremo-temo	abaremo-temo	m.		sem_traducao
abarga	barga	f. | Ant.		
abaritonado	haggard	adj.		
abarracado	barracks	adj.		
abarracamento	encampment	m.		
abarracar	to make a tent	v. t.		
abarrancar	to shantytown	v. i. | V. | p.		
abarregado	barregado	adj. | Topogr.		
abarregamento	damming	m.		
abarregar	to bag	v. | t. | Ant. | p. | Cp.		
abarreirar	barrier	v. t.		
abarretar	to cap	v. t.		
abarroado	piled up	adj. | Ant.		
abarrotado	crammed	adj. | Ant.		
abarrotado	crowded	adj. | Ant.		
abarrotado	overcrowded	adj. | Ant.		
abarrotado	chock-full	adj. | Ant.		
abarrotamento	overcrowding	m.		
abarrotamento	glut	m.		
abarrotamento	cram	m.		
abarrotar	cram	v. t.		
abarrotar	glut	v. t.		
abarrotar	oversupply	v. t.		
abarruntar	abarruntar	v. t. | Prov. trasm.		sem_traducao
abarticular	abarticular	adj. | Med. | as. | lat.	termo_tecnico_cientifico:Med.	sem_traducao
abaruna	abaruna	m. | Bras. | Cf.		sem_traducao
abasia	abbey	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
abasicarpo	abasicarpo	m. | gr.		sem_traducao
abásico	basic	adj. | m.		
abassis	abasis	m. pl. | Ant. | Cf.		
abassor	absorber	adj. | Anat. | gr.	termo_tecnico_cientifico:Anat.	
abastadamente	abundantly	adv.		
abastado	wealthy	adj.		
abastado	rich	adj.		
abastado	flush	adj.		
abastado	well-off	adj.		
abastamente	quite	adv.		
abastamento	supply	m.		
abastança	abundance	f.		
abastança	surfeit	f.		
abastar	to supply	v. t. | v. i.		
abastardado	bastard	adj. | ﬁg.		
abastardamento	bastardization	m.		
abastardamento	degeneracy	m.		
abastardar	bastardize	v. t.		
abastardar	corrupt	v. t.		
abastardear	bastardize	v. t. | Cf. | port.		
abastecedor	supplier	m.		
abastecedor	provider	m.		
abastecedor	outfitter	m.		
abastecedor	purveyor	m.		
abastecedor	victualler	m.		
abastecedor	clicker	m.		
abastecer	refuel	v. t.		
abastecer	supply	v. t.		
abastecer	fuel	v. t.		
abastecer	provide	v. t.		
abastecer	feed	v. t.		
abastecer	fill up	v. t.		
abastecer	provision	v. t.		
abastecer	stock	v. t.		
abastecer	store	v. t.		
abastecer	bunker	v. t.		
abastecer	victual	v. t.		
abastecimento	supply	m.		
abastecimento	supplies	m.		
abastecimento	fill	m.		
abastecimento	provision	m.		
abastecimento	victualling	m.		
abastecimento	store	m.		
abastecimento	purveyance	m.		
abastecimento	refuelling	m.		
abastimento	laydown	m. | Prov. trasm.		
abasto	abasto	m. | Ant.		sem_traducao
abastosamente	abundantly	adv.		
abastoso	abundant	adj.		
abatatado	abatatado	adj.		sem_traducao
abatatar	abatatar	v. t.		sem_traducao
abate	slaughter	m.		
abatedor	slaughterhouse	m.		
abater	to slaughter	v. | t. | v. i. | lat.		
abater	shoot down	v. | t. | v. i. | lat.		
abater	slaughter	v. | t. | v. i. | lat.		
abater	down	v. | t. | v. i. | lat.		
abater	fell	v. | t. | v. i. | lat.		
abater	abate	v. | t. | v. i. | lat.		
abater	reduce	v. | t. | v. i. | lat.		
abater	knock down	v. | t. | v. i. | lat.		
abater	lower	v. | t. | v. i. | lat.		
abater	discount	v. | t. | v. i. | lat.		
abater	depress	v. | t. | v. i. | lat.		
abater	weaken	v. | t. | v. i. | lat.		
abater	unman	v. | t. | v. i. | lat.		
abater	lay	v. | t. | v. i. | lat.		
abater	dishearten	v. | t. | v. i. | lat.		
abater	sink	v. | t. | v. i. | lat.		
abater	tumble down	v. | t. | v. i. | lat.		
abater	retrench	v. | t. | v. i. | lat.		
abater	prostrate	v. | t. | v. i. | lat.		
abater	deject	v. | t. | v. i. | lat.		
abátia	abatia	f.		sem_traducao
abatidamente	dejectedly	adv.		
abatido	shot down	adj.		
abatido	down	adj.		
abatido	haggard	adj.		
abatido	dejected	adj.		
abatido	downcast	adj.		
abatido	depressed	adj.		
abatido	despondent	adj.		
abatido	wan	adj.		
abatido	crestfallen	adj.		
abatido	dispirited	adj.		
abatido	languishing	adj.		
abatido	reduced	adj.		
abatido	prostrate	adj.		
abatido	dismal	adj.		
abatido	woebegone	adj.		
abatido	hagridden	adj.		
abatido	melancholy	adj.		
abatido	moped	adj.		
abatido	joyless	adj.		
abatido	dumpish	adj.		
abatido	broken-hearted	adj.		
abatido	dead-alive	adj.		
abatido	low-spirited	adj.		
abatido	down-hearted	adj.		
abatido	washed-out	adj.		
abatido	heavy-laden	adj.		
abatimento	discount	m. | Náut.		
abatimento	rebate	m. | Náut.		
abatimento	reduction	m. | Náut.		
abatimento	dejection	m. | Náut.		
abatimento	depression	m. | Náut.		
abatimento	despondency	m. | Náut.		
abatimento	prostration	m. | Náut.		
abatimento	heaviness	m. | Náut.		
abatimento	abasement	m. | Náut.		
abatimento	languor	m. | Náut.		
abatimento	weakness	m. | Náut.		
abatimento	chill	m. | Náut.		
abatimento	doldrums	m. | Náut.		
abatimento	sag	m. | Náut.		
abatimento	settlement	m. | Náut.		
abatimento	droop	m. | Náut.		
abatimento	enervation	m. | Náut.		
abatimento	mope	m. | Náut.		
abatimento	drawback	m. | Náut.		
abatimento	damp	m. | Náut.		
abatina	slaughterhouse	f.		
abatinar	abatinar	v. t.		sem_traducao
abatirás	you will strike down	m. pl.		
abatis	abatis	m.		sem_traducao
abatis	abatis	m. | Bras.		sem_traducao
abatixi	abatixi	m. | Bras.		sem_traducao
abatocar	abatocar	v. t.		sem_traducao
abatufado	muffled	adj. | Prov. trasm. | Cp.		
abauladamente	bulging	adv.		
abaulado	domed	adj.		
abaulado	convex	adj.		
abaulado	cambered	adj.		
abaulador	bulging	m.		
abaulamento	bulging	m.		
abaulamento	hogback	m.		
abaulamento	vault	m.		
abaular	bulging	v. t.		
abaúna	abauna	adj. | f.		sem_traducao
abaxial	abaxial	adj. | Ópt. | lat.		sem_traducao
abba	abba	m. | syr.		sem_traducao
abbacial	abbacy	adj. | b. lat.		
abbadado	abbadado	m. | Ant.		sem_traducao
abbadágio	abbey	m.		
abbadar	abbadar	v. t.		sem_traducao
abbade	abbot	m. | b. lat.		
abbadecídio	abbadecide	m. | Cf.		
abbadengo	abbot	m. | Ant. | Adj.		
abbadesco	abbot	adj.		
abbadessa	abbess	f. | b. lat.		
abbadessado	abbessado	m. | as.		
abbadessona	abbadessona	f. | fam. | Cf.		sem_traducao
abbadia	abbey	f.		
abbadiado	abbey	m.		
abbadim	abbadim	m. | Ant.		sem_traducao
abbatina	abbatina	f.		sem_traducao
abc	ABC	m.		sem_traducao
abc	alphabet	m.		
abceder	abdicate	v. i. | lat.		
abcesso	abscess	m. | lat.		
abcesso	tumor	m. | lat.		
abcesso	tumour	m. | lat.		
abcisão	abscision	f. | lat.		
abcissa	abscissa	f. | Geom. | num. | lat.	termo_tecnico_cientifico:Geom.	
abdala	abdala	ár.		sem_traducao
abdalita	Abdalite	m. | ár.		
abdelcáder	abdelkader	ár.		
abdelcádir	abdelkader	ár.		
abderiano	Abderian	m. e adj.		
abderita	abderita	m. e adj.		sem_traducao
abdicação	abdication	f. | lat.		
abdicador	abdicator	m.		
abdicante	abdicating	m.		
abdicar	abdicate	v. t. | lat.		
abdicar	demit	v. t. | lat.		
abdicatário	abdicated	m. e adj.		
abdicativo	abdicative	adj.		
abdicavel	relinquishable	adj.		
ábdito	abdict	adj. | des. | lat.		
abdome	abdomen	m. | lat.		
abdome	belly	m. | lat.		
abdome	stomach	m. | lat.		
abdômen	abdomen	m. | V.		sem_traducao
abdômen	belly	m. | V.		
abdômen	tummy	m. | V.		
abdômen	venter	m. | V.		
abdominaes	abdominal exercises	m. pl.		
abdominais	abdominal exercises	m. pl.		
abdominal	abdominal	adj. | lat.		sem_traducao
abdominal	ventral	adj. | lat.		
abdominoscopia	abdominoscopy	f. | lat. | gr.		
abdominoso	abdominal	adj.		
abdominothorácico	abdominothoracic	adj. | Anat.	termo_tecnico_cientifico:Anat.	
abdominotorácico	abdominothoracic	adj. | Anat.	termo_tecnico_cientifico:Anat.	
abdução	abduction	f. | Anat. | lat.	termo_tecnico_cientifico:Anat.	
abducção	abduction	f. | Anat. | lat.	termo_tecnico_cientifico:Anat.	
abducente	abducens	adj. | lat.		
abducente	abducent	adj. | lat.		
abductivo	abductive	adj.		
abductor	abductor	m. | Anat. | lat.	termo_tecnico_cientifico:Anat.	sem_traducao
abdutivo	abductive	adj.		
abdutor	abductor	m. | Anat. | lat.	termo_tecnico_cientifico:Anat.	
abduzir	abduct	v. t. | lat.		
abeatador	beater	adj.		
abeatar	beatar	v. t.		
abêbera	abêbera	f.		sem_traducao
abeberar	to drink	v. t. | cast. | fr. | it. | lat. | Cf. | vb.		
abebra	abebra	f. | V.		sem_traducao
abecar	abecar	v. t. | Bras.		sem_traducao
abecê	ABC	m.		
abecedário	alphabet	m. | lat.		
abecedário	ABC	m. | lat.		
abecedário	abecedarian	m. | lat.		
abechedo	abechedo	m. | Prov. trasm.		sem_traducao
abechucho	abechucho	m. | Prov. trasm.		sem_traducao
abecoínha	little abecoinha	f. | prov.		
abegão	bigwig	m. | Prov. alent. | Prov. minh. | lat. | hyp.		
abegão	bigwig	m. | prov. | cast.		
abegôa	abegôa			sem_traducao
abegoaria	barnyard	f.		
abegoira	bee tree	f. | Ant.		
abegoura	beegoura	f. | Ant.		
abeirar	approach	v. t.		
abeirar	bring near	v. t.		
abeixamim	abeixamim	m. | Ant.		sem_traducao
abelha	bee	f. | qual. | ﬁg. | lat.		
abelha	apis	f. | qual. | ﬁg. | lat.		
abelha-flôr	bee-flower	f.		
abelhal	swarm	f.		
abelhão	bumblebee	m.		
abelhão	dog-bee	m.		
abelhar	bees	v. i. | prov.		
abelharuco	bee-eater	m. | Cp. | cast.		
abelheira	beehive	f. | as.		
abelheiro	beekeeper	m.		
abelhina	little bee	f.		
abelhuar-se	to be abelhuar	v. | p. | des. | Cf. | diccion.		
abelhudamente	meddlesomely	adv.		
abelhudice	busybody	f.		
abelhudo	busybody	adj.		
abelhudo	nosy	adj.		
abélia	abelia	f. | n. p.		sem_traducao
abeliceia	abeliceia	f.		sem_traducao
abelidar-se	to become qualified	v. p.		
abellota	abellota	f.		sem_traducao
abelmeluco	abelmeluco	m.		sem_traducao
abelmosco	abelmosco	m. | ár. | Cp.		sem_traducao
abeloira	beloira	f. | as.		
abelota	bee	f.		
abeloura	beloura	f. | as.		
abém!	abem!	interj. | Ant.		sem_traducao
abemolado	abemolado	adj.		sem_traducao
abemolar	abemolar	v. t. | Mús. | ﬁg.		sem_traducao
abencerragens	abencerragens	m. pl. | n. p.		sem_traducao
abencerrajens	abencerrajens	m. pl. | n. p.		sem_traducao
abençoadeiro	blessed	m.		
abençoado	blessed	adj.		
abençoador	blessing	m.		
abençoamento	blessing	m. | Cf.		
abençoar	bless	v. t. | V. | p. | Cf. | diccion.		
abençoável	blessed	adj. | Cf. | Agr.		
abendiçoar	bless	v. t.		
aberém	aberém	m. | Bras.		sem_traducao
aberema	aberema	f.		sem_traducao
abéria	Aberia	f. | Bot.	termo_tecnico_cientifico:Bot.	sem_traducao
aberingelado	eggplant	adj.		
aberração	aberration	f. | lat.		
aberração	freak	f. | lat.		
aberração	aberrance	f. | lat.		
aberração	warp	f. | lat.		
aberrante	aberrant	adj. | lat.		
